date,mean_Temp,mean_discharge,mean_stage
1995-08-14,NA,10675.104166666666,11.959166666666667
1995-08-15,NA,7087.708333333333,12.190520833333334
1995-08-16,NA,13589.447916666666,12.417708333333334
1995-08-17,NA,18480.833333333332,12.225416666666666
1995-08-18,NA,10152.5,11.905729166666667
1995-08-19,NA,8864.59375,11.9371875
1995-08-20,NA,4901.489583333333,12.111979166666666
1995-08-21,NA,11944.208333333334,12.494895833333333
1995-08-22,NA,12400.1875,12.379895833333334
1995-08-23,NA,11754.270833333334,12.361770833333333
1995-08-24,NA,12712.604166666666,12.301875
1995-08-25,NA,13744.65625,12.197083333333333
1995-08-26,NA,13359.6875,12.062395833333333
1995-08-27,NA,12527.1875,12.014479166666666
1995-08-28,NA,15081.760416666666,11.927291666666667
1995-08-29,NA,15058.34375,11.878125
1995-08-30,NA,13931.5625,11.749583333333334
